product_id,promo_density_total,promo_density_natural_clean,promo_density_clinical_premium,abstractness_ratio,semantic_gap_coarse,skepticism_ratio,value_complaint_ratio,negative_repurchase_ratio,scenario_entropy,attenuation_index_exploratory,mean_reviews_per_active_month,brand,product_name,spf_value,mineral_or_chemical,review_count,first_review_date,last_review_date,review_span_months,matched_terms
B0C52N53Q3,0.7782101167315175,0.0,0.0,0.0,0.7207028698024543,0.0624883454533558,0.0008064516129032247,0.0,0.011970782285584713,0.2165539600821156,5.376344086021505,Neutrogena,"Neutrogena MoistureShine Lip Soother Gloss with SPF 20 Sun Protection, High Gloss Tinted Lip Moisturizer with Hydrating Glycerin and Soothing Cucumber for Dry Lips, Shine 30,.35 oz",20.0,,1165,2011-08-29,2023-07-18,142.6,sunscreen; spf; broad spectrum; sun protection
B008KYYLPI,2.1671826625387,0.0,0.0,0.0,0.7195761651020356,0.08571597518036345,0.001984126984126983,0.0012626262626262625,0.06977824890460364,0.21257083108487662,6.944444444444445,Hawaiian Tropic,"Hawaiian Tropic Sunscreen Silk Hydration Moisturizing Broad Spectrum Sun Care Sunscreen Lotion - SPF 30, 6 Ounce",30.0,chemical,744,2012-07-05,2022-11-17,124.4,sunscreen; spf; broad spectrum; sun protection; uva; uvb
B09JTF1KYX,3.755868544600939,0.0,0.0,0.0,0.7683126293760809,0.044440104498935436,0.0006878714505833144,0.0,0.021004196114672444,0.20930315998939197,4.237288135593221,L'Oreal Paris,"L'Oreal Men Expert Vitalift Anti-Wrinkle & Firming Face Moisturizer with SPF 15 and Pro-Retinol, Face Moisturizer for Men, Beard and Skincare for Men, 1.6 oz",15.0,,1316,2010-03-10,2023-08-20,161.3,spf; broad spectrum; uva; uvb
B01MYQW5SM,8.737864077669903,0.3236245954692557,0.6472491909385114,0.0454545454545454,0.7594112485866502,0.09929232596042717,0.00020678246484698062,0.0,0.12284711123082029,0.20526997115817583,4.032258064516129,Neutrogena,"Neutrogena Ultra Sheer Dry-Touch Sunscreen Lotion, Broad Spectrum SPF 30 UVA/UVB Protection, Oxybenzone-Free, Light, Water Resistant, Non-Comedogenic ; Non-Greasy, Travel Size, 3 fl. oz",30.0,chemical,3821,2007-08-23,2023-08-28,192.1,sunscreen; spf; broad spectrum; sun protection; uva; uvb
B0874GFK2Z,4.892966360856269,0.9174311926605504,0.0,0.0,0.75739420950451,0.03524061416108653,0.0,0.0,0.047848794337918846,0.2010024253807422,4.273504273504273,Australian Gold,"Australian Gold Spray Gel Sunscreen with Instant Bronzer SPF 30, 8 Ounce | Moisturize & Hydrate Skin | Broad Spectrum | Water Resistant | Non-Greasy | Oxybenzone Free | Cruelty Free",30.0,chemical,1404,2007-01-10,2023-08-26,199.5,sunscreen; sunblock; spf; broad spectrum; sun protection; uva; uvb
B0BF9M6QM7,4.363636363636364,0.0,0.0,0.0,0.7800038719806631,0.05893041950601314,0.0002124044180118944,0.0,0.08379202182269051,0.2009738225917688,4.672897196261682,Hawaiian Tropic,"Hawaiian Tropic Sheer Touch Lotion Sunscreen SPF 70, 8oz | Hawaiian Tropic Sunscreen SPF 70, High SPF Sunscreen, Oxybenzone Free Sunscreen, Moisturizing Sunscreen, Body Sunscreen SPF 70, 8oz",70.0,chemical,892,2011-07-16,2023-08-25,145.3,sunscreen; spf; broad spectrum; sun protection; uva; uvb
B01LWUS3BA,0.7299270072992701,0.7299270072992701,0.0,0.25,0.7487735411779383,0.014954161278524617,0.0,0.0020947132167544453,0.02901636604653829,0.19920665347843833,6.8493150684931505,REVLON,"Lip Balm by Revlon, Kiss Tinted Lip Balm, Face Makeup with Lasting Hydration, SPF 20, Infused with Natural Fruit Oils, 035 Berry Burst, 0.09 Oz",20.0,,1509,2016-10-25,2023-08-08,81.4,spf; sun protection
B095FMX9LT,3.492063492063492,1.5873015873015872,0.0,0.0,0.6965186015809814,0.029781004753568045,0.0011202389843166525,0.0009614933633506863,0.05133336587805436,0.19918806133737638,4.854368932038835,Sun Bum,Sun Bum SPF 30 Sunscreen Lip Balm | Vegan and Cruelty Free Broad Spectrum UVA/UVB Lip Care with Aloe and Vitamin E for Moisturized Lips | Watermelon Flavor |.15 oz,30.0,,2182,2013-03-16,2023-09-09,125.8,sunscreen; spf; broad spectrum; sun protection; uva; uvb
B09NN2726V,1.107011070110701,1.107011070110701,0.0,0.5,0.7225055077248033,0.015235366351591815,0.00038138825324179995,0.0,0.030856473496363068,0.19849466226951537,10.869565217391305,Palmer's,"Palmer's Coconut Oil Formula Lip Balm with SPF 15, 0.15 Ounce",15.0,,968,2017-10-15,2023-08-29,70.4,spf; sun protection
B0B3LHMSN2,4.838709677419355,2.1505376344086025,0.0,0.2666666666666666,0.7989076535478364,0.008717265965301537,0.0017241379310344827,0.0034482758620689655,0.02873112624038104,0.1981620579897901,3.4482758620689653,Natural Ice,Natural Ice Original SPF 15 Medicated Lip Balm - 12 Count Pack,15.0,,1482,2003-09-16,2023-08-04,238.6,sunscreen; spf; broad spectrum; sun protection; uva; uvb
